Algorithm,Size,Type,Time(ms)
Bubble,20,Random,0.019799976143985987
Insertion,20,Random,0.029799994081258774
Selection,20,Random,0.012400036212056875
Merge,20,Random,0.029799994081258774
Quick,20,Random,0.021899992134422064
Heap,20,Random,0.025500019546598196
3-Way Merge,20,Random,0.052099989261478186
Cycle,20,Random,0.026600027922540903
Counting,20,Random,8.41400003992021
Radix,20,Random,0.04529999569058418
Python,20,Random,0.0048999791033566
Bubble,20,Sorted,0.011699972674250603
Insertion,20,Sorted,0.002900022082030773
Selection,20,Sorted,0.010000017937272787
Merge,20,Sorted,0.0192999723367393
Quick,20,Sorted,0.013699987903237343
Heap,20,Sorted,0.021899992134422064
3-Way Merge,20,Sorted,0.040000013541430235
Cycle,20,Sorted,0.009300012607127428
Python,20,Sorted,0.000800006091594696
Bubble,20,Reverse,0.01910002902150154
Insertion,20,Reverse,0.015700003132224083
Selection,20,Reverse,0.010200019460171461
Merge,20,Reverse,0.01769996015354991
Quick,20,Reverse,0.01309998333454132
Heap,20,Reverse,0.016300007700920105
3-Way Merge,20,Reverse,0.03430002834647894
Cycle,20,Reverse,0.0171000137925148
Python,20,Reverse,0.000600004568696022
Bubble,20,AlmostSorted,0.010700023267418146
Insertion,20,AlmostSorted,0.002300017513334751
Selection,20,AlmostSorted,0.009899958968162537
Merge,20,AlmostSorted,0.016300007700920105
Quick,20,AlmostSorted,0.012599979527294636
Heap,20,AlmostSorted,0.020099978428333998
3-Way Merge,20,AlmostSorted,0.03559998003765941
Cycle,20,AlmostSorted,0.008699949830770493
Python,20,AlmostSorted,0.000500003807246685
Bubble,20,FewUnique,0.015199999324977398
Insertion,20,FewUnique,0.008599949069321156
Selection,20,FewUnique,0.010000017937272787
Merge,20,FewUnique,0.024699955247342587
Quick,20,FewUnique,0.024699955247342587
Heap,20,FewUnique,0.019099970813840628
3-Way Merge,20,FewUnique,0.03960001049563289
Cycle,20,FewUnique,0.025800021830946207
Python,20,FewUnique,0.001200009137392044
Bubble,50,Random,0.09869999485090375
Insertion,50,Random,0.06089999806135893
Selection,50,Random,0.051499984692782164
Merge,50,Random,0.12069998774677515
Quick,50,Random,0.05530001362785697
Heap,50,Random,0.06369996117427945
3-Way Merge,50,Random,0.12129999231547117
Cycle,50,Random,0.1406999654136598
Counting,50,Random,7.9663999495096505
Radix,50,Random,0.07579999510198832
Python,50,Random,0.005699985194951296
Bubble,50,Sorted,0.06260001100599766
Insertion,50,Sorted,0.005399982910603285
Selection,50,Sorted,0.04950002767145634
Merge,50,Sorted,0.05299999611452222
Quick,50,Sorted,0.03850000211969018
Heap,50,Sorted,0.07020001066848636
3-Way Merge,50,Sorted,0.12069998774677515
Cycle,50,Sorted,0.045599997974932194
Python,50,Sorted,0.000700005330145359
Bubble,50,Reverse,0.12609997065737844
Insertion,50,Reverse,0.10009994730353355
Selection,50,Reverse,0.05600001895800233
Merge,50,Reverse,0.052799994591623545
Quick,50,Reverse,0.038899946957826614
Heap,50,Reverse,0.05849997978657484
3-Way Merge,50,Reverse,0.11520000407472253
Cycle,50,Reverse,0.09319995297119021
Python,50,Reverse,0.0007999478839337826
Bubble,50,AlmostSorted,0.06280001252889633
Insertion,50,AlmostSorted,0.006299989763647318
Selection,50,AlmostSorted,0.0523999915458262
Merge,50,AlmostSorted,0.05099998088553548
Quick,50,AlmostSorted,0.03630004357546568
Heap,50,AlmostSorted,0.06689998554065824
3-Way Merge,50,AlmostSorted,0.1145999995060265
Cycle,50,AlmostSorted,0.04509999416768551
Python,50,AlmostSorted,0.00100000761449337
Bubble,50,FewUnique,0.0906999921426177
Insertion,50,FewUnique,0.047200010158121586
Selection,50,FewUnique,0.05039997631683946
Merge,50,FewUnique,0.05879998207092285
Quick,50,FewUnique,0.022799998987466097
Heap,50,FewUnique,0.0706000137142837
3-Way Merge,50,FewUnique,0.11399999493733048
Cycle,50,FewUnique,0.11629995424300432
Python,50,FewUnique,0.002600019797682762
Bubble,100,Random,0.34609995782375336
Insertion,100,Random,0.18430000636726618
Selection,100,Random,0.17989997286349535
Merge,100,Random,0.13100000796839595
Quick,100,Random,0.11030002497136593
Heap,100,Random,0.1485000248067081
3-Way Merge,100,Random,0.24580000899732113
Cycle,100,Random,0.5094000371173024
Counting,100,Random,8.360200037714094
Radix,100,Random,0.15079998411238194
Python,100,Random,0.010199961252510548
Bubble,100,Sorted,0.256099971011281
Insertion,100,Sorted,0.014499993994832039
Selection,100,Sorted,0.2033999771811068
Merge,100,Sorted,0.11600001016631722
Quick,100,Sorted,0.21769996965304017
Heap,100,Sorted,0.20180002320557833
3-Way Merge,100,Sorted,0.332399969920516
Cycle,100,Sorted,0.27930003125220537
Python,100,Sorted,0.00890000956133008
Bubble,100,Reverse,0.7674000225961208
Insertion,100,Reverse,0.4374999552965164
Selection,100,Reverse,0.3212000010535121
Merge,100,Reverse,0.12769998284056783
Quick,100,Reverse,0.089899986051023
Heap,100,Reverse,0.1482999650761485
3-Way Merge,100,Reverse,0.27060002321377397
Cycle,100,Reverse,0.37020002491772175
Python,100,Reverse,0.004100031219422817
Bubble,100,AlmostSorted,0.26160001289099455
Insertion,100,AlmostSorted,0.026200024876743555
Selection,100,AlmostSorted,0.2025999710895121
Merge,100,AlmostSorted,0.12350000906735659
Quick,100,AlmostSorted,0.0877000275067985
Heap,100,AlmostSorted,0.17279997700825334
3-Way Merge,100,AlmostSorted,0.26780000189319253
Cycle,100,AlmostSorted,0.17469999147579074
Python,100,AlmostSorted,0.00600004568696022
Bubble,100,FewUnique,0.3659999929368496
Insertion,100,FewUnique,0.19039999460801482
Selection,100,FewUnique,0.18470000941306353
Merge,100,FewUnique,0.1441999920643866
Quick,100,FewUnique,0.04950002767145634
Heap,100,FewUnique,0.15410000924021006
3-Way Merge,100,FewUnique,0.271500030066818
Cycle,100,FewUnique,0.5245999782346189
Python,100,FewUnique,0.007399998139590025
Bubble,1000,Random,43.98169997148216
Insertion,1000,Random,20.760599989444017
Selection,1000,Random,18.09760002652183
Merge,1000,Random,1.6308000194840133
Quick,1000,Random,1.3672999921254814
Heap,1000,Random,2.1635000011883676
3-Way Merge,1000,Random,3.3669000258669257
Cycle,1000,Random,54.57470001420006
Counting,1000,Random,8.617400017101318
Radix,1000,Random,1.3199999812059104
Python,1000,Random,0.08830003207549453
Bubble,1000,Sorted,24.569100001826882
Insertion,1000,Sorted,0.1181000261567533
Selection,1000,Sorted,20.242800004780293
Merge,1000,Sorted,1.3226000010035932
Quick,1000,Sorted,0.9643000084906816
Heap,1000,Sorted,3.2270000083371997
3-Way Merge,1000,Sorted,4.029100004117936
Cycle,1000,Sorted,16.663899994455278
Python,1000,Sorted,0.008200004231184721
Bubble,1000,Reverse,58.4106000023894
Insertion,1000,Reverse,38.993699999991804
Selection,1000,Reverse,20.221500017214566
Merge,1000,Reverse,1.3710000202991068
Quick,1000,Reverse,0.9486000053584576
Heap,1000,Reverse,2.3010000004433095
3-Way Merge,1000,Reverse,3.5549000022001565
Cycle,1000,Reverse,33.35410001454875
Python,1000,Reverse,0.010199961252510548
Bubble,1000,AlmostSorted,25.95199999632314
Insertion,1000,AlmostSorted,1.053099986165762
Selection,1000,AlmostSorted,18.88759998837486
Merge,1000,AlmostSorted,1.3827999937348068
Quick,1000,AlmostSorted,0.978600000962615
Heap,1000,AlmostSorted,2.3512000334449112
3-Way Merge,1000,AlmostSorted,3.374400024767965
Cycle,1000,AlmostSorted,16.065699979662895
Python,1000,AlmostSorted,0.027799978852272034
Bubble,1000,FewUnique,42.16630000155419
Insertion,1000,FewUnique,17.930899979546666
Selection,1000,FewUnique,17.671899986453354
Merge,1000,FewUnique,1.6226000152528286
Quick,1000,FewUnique,0.40279998211190104
Heap,1000,FewUnique,2.041200001258403
3-Way Merge,1000,FewUnique,3.2366999657824636
Cycle,1000,FewUnique,47.157299995888025
Python,1000,FewUnique,0.0654000323265791
Merge,5000,Random,10.566199955064803
Quick,5000,Random,7.9212000127881765
Heap,5000,Random,14.265100006014109
3-Way Merge,5000,Random,20.633600011933595
Counting,5000,Random,10.667799971997738
Radix,5000,Random,6.045999994967133
Python,5000,Random,0.48400001833215356
Merge,5000,Sorted,6.736300012562424
Quick,5000,Sorted,5.747399991378188
Heap,5000,Sorted,15.245400019921362
3-Way Merge,5000,Sorted,19.52899998286739
Python,5000,Sorted,0.02500001573935151
Merge,5000,Reverse,6.80939998710528
Quick,5000,Reverse,5.275000003166497
Heap,5000,Reverse,13.16850003786385
3-Way Merge,5000,Reverse,19.03550000861287
Python,5000,Reverse,0.024200009647756815
Merge,5000,AlmostSorted,8.546099998056889
Quick,5000,AlmostSorted,5.623300035949796
Heap,5000,AlmostSorted,16.05620002374053
3-Way Merge,5000,AlmostSorted,20.36189998034388
Python,5000,AlmostSorted,0.10050000855699182
Merge,5000,FewUnique,9.875899995677173
Quick,5000,FewUnique,1.3846000074408948
Heap,5000,FewUnique,12.976999976672232
3-Way Merge,5000,FewUnique,19.817100022919476
Python,5000,FewUnique,0.2668000524863601
